Team,Position,Player_Name,Status
Atlanta Hawks,C,Onyeka Okongwu,Active
Atlanta Hawks,PF,Jalen Johnson,Active
Atlanta Hawks,SF,Dyson Daniels,Active
Atlanta Hawks,SG,CJ McCollum,Active
Atlanta Hawks,PG,Nickeil Alexander-Walker,Active
Atlanta Hawks,BENCH,Zaccharie Risacher,Active
Atlanta Hawks,BENCH,Buddy Hield,Active
Atlanta Hawks,BENCH,Devin Carter,Active
Atlanta Hawks,BENCH,Aaron Wiggins,Active
Atlanta Hawks,BENCH,Asa Newell,Active
Atlanta Hawks,BENCH,Mouhamed Gueye,Active
Atlanta Hawks,BENCH,Corey Kispert,Active
Atlanta Hawks,BENCH,Kingston Flemings,Active
Atlanta Hawks,BENCH,Zuby Ejiofor,Active
Atlanta Hawks,BENCH,Keshon Gilbert,Active
Boston Celtics,C,Mitchell Robinson,Active
Boston Celtics,PF,Jayson Tatum,Active
Boston Celtics,SF,Paul George,Active
Boston Celtics,SG,Derrick White,Active
Boston Celtics,PG,Payton Pritchard,Active
Boston Celtics,BENCH,Sam Hauser,Active
Boston Celtics,BENCH,Baylor Scheierman,Active
Boston Celtics,BENCH,Neemias Queta,Active
Boston Celtics,BENCH,Mike Conley,Active
Boston Celtics,BENCH,Hugo Gonzalez,Active
Boston Celtics,BENCH,Luka Garza,Active
Boston Celtics,BENCH,Jordan Walsh,Active
Boston Celtics,BENCH,Chris Cenac Jr.,Active
Boston Celtics,BENCH,John Tonje,Active
Boston Celtics,BENCH,Amari Williams,Active
Charlotte Hornets,C,Naz Reid,Active
Charlotte Hornets,PF,Grant Williams,Active
Charlotte Hornets,SF,Brandon Miller,Active
Charlotte Hornets,SG,Kon Knueppel,Active
Charlotte Hornets,PG,LaMelo Ball,Active
Charlotte Hornets,BENCH,Coby White,Active
Charlotte Hornets,BENCH,Dorian Finney-Smith,Active
Charlotte Hornets,BENCH,Ryan Kalkbrenner,Active
Charlotte Hornets,BENCH,Tre Mann,Active
Charlotte Hornets,BENCH,Liam McNeeley,Active
Charlotte Hornets,BENCH,Tidjane Salaun,Active
Charlotte Hornets,BENCH,Moussa Diabate,Active
